caption_sentence,cleaned_tokens
They're happy.<00:03:12.080><c> They're</c><00:03:12.239><c> smiling.</c><00:03:12.959><c> Alive.</c><00:03:13.599><c> Warming</c> happy.,"['theyre', 'happy', 'theyre', 'smiling', 'alive', 'warming', 'happy']"
They're smiling.,"['theyre', 'smiling']"
Alive.,['alive']
Warming happy.,"['warming', 'happy']"
They're smiling.,"['theyre', 'smiling']"
Alive.,['alive']
Warming up.<00:03:14.080><c> Warming</c><00:03:14.400><c> up.</c><00:03:14.720><c> Cold.</c><00:03:15.440><c> You</c><00:03:15.599><c> feel</c><00:03:15.680><c> a</c><00:03:15.920><c> shiver</c> up.,"['warming', 'warming', 'cold', 'feel', 'shiver']"
Warming up.,['warming']
Cold.,['cold']
You feel a shiver up.,"['feel', 'shiver']"
Warming up.,['warming']
Cold.,['cold']
You feel a shiver down<00:03:16.480><c> your</c><00:03:16.640><c> neck.</c><00:03:17.519><c> Clearcut.</c><00:03:18.239><c> 100%</c><00:03:18.879><c> 100%</c><00:03:19.440><c> Jeff</c> down your neck.,"['feel', 'shiver', 'neck', 'clearcut', 'jeff', 'neck']"
Clearcut.,['clearcut']
100% 100% Jeff down your neck.,"['jeff', 'neck']"
Clearcut.,['clearcut']
"100% 100% Jeff Johnson,<00:03:20.080><c> your</c><00:03:20.239><c> person</c><00:03:20.400><c> is</c><00:03:20.560><c> alive</c><00:03:20.800><c> and</c><00:03:21.040><c> well.</c> Johnson, your person is alive and well.","['jeff', 'johnson', 'person', 'alive', 'well', 'johnson', 'person', 'alive', 'well']"
"Johnson, your person is alive and well.","['johnson', 'person', 'alive', 'well']"
Am<00:03:21.440><c> I</c><00:03:21.599><c> right?</c> Am I right?,"['right', 'right']"
Am I right?,['right']
&gt;&gt; You're<00:03:22.319><c> right.</c> &gt;&gt; You're right.,"['gtgt', 'youre', 'right', 'gtgt', 'youre', 'right']"
&gt;&gt; You're right.,"['gtgt', 'youre', 'right']"
"&gt;&gt; The<00:03:22.879><c> boisterous</c><00:03:23.440><c> smile,</c><00:03:23.840><c> the</c><00:03:24.000><c> effervescence.</c> &gt;&gt; The boisterous smile, the effervescence.","['gtgt', 'boisterous', 'smile', 'effervescence', 'gtgt', 'boisterous', 'smile', 'effervescence']"
"&gt;&gt; The boisterous smile, the effervescence.","['gtgt', 'boisterous', 'smile', 'effervescence']"
100%.<00:03:25.760><c> Versus</c><00:03:26.159><c> Ian.</c><00:03:27.360><c> Dead</c><00:03:27.599><c> guy</c><00:03:27.840><c> vibes</c><00:03:28.080><c> written</c> 100%.,"['versus', 'ian', 'dead', 'guy', 'vibe', 'written']"
Versus Ian.,"['versus', 'ian']"
Dead guy vibes written 100%.,"['dead', 'guy', 'vibe', 'written']"
Versus Ian.,"['versus', 'ian']"
Dead guy vibes written all<00:03:28.480><c> over</c><00:03:28.640><c> this</c><00:03:28.800><c> guy.</c><00:03:28.959><c> Is</c><00:03:29.120><c> it</c><00:03:29.200><c> a</c><00:03:29.360><c> dead</c><00:03:29.519><c> guy?</c> all over this guy.,"['dead', 'guy', 'vibe', 'written', 'guy', 'dead', 'guy', 'guy']"
Is it a dead guy?,"['dead', 'guy']"
all over this guy.,['guy']
Is it a dead guy?,"['dead', 'guy']"
&gt;&gt; Yes.,"['gtgt', 'yes']"
&gt;&gt; Yes.,"['gtgt', 'yes']"
&gt;&gt; Yes.,"['gtgt', 'yes']"
&gt;&gt; Classic<00:03:32.480><c> Ian.</c><00:03:33.040><c> Classic.</c> &gt;&gt; Classic Ian.,"['gtgt', 'classic', 'ian', 'classic', 'gtgt', 'classic', 'ian']"
Classic.,['classic']
&gt;&gt; Classic Ian.,"['gtgt', 'classic', 'ian']"
Classic.,['classic']
"Ian, Ian, Ian, focus<00:03:37.840><c> on</c><00:03:38.159><c> this.</c><00:03:38.480><c> Now,</c><00:03:38.640><c> also</c><00:03:38.879><c> the</c><00:03:39.040><c> lingering</c> focus on this.","['ian', 'ian', 'ian', 'focus', 'also', 'lingering', 'focus']"
"Now, also the lingering focus on this.","['also', 'lingering', 'focus']"
"Now, also the lingering hands<00:03:39.680><c> and</c><00:03:39.760><c> pockets</c><00:03:40.239><c> always</c><00:03:40.480><c> indicator</c><00:03:40.879><c> of</c> hands and pockets always indicator of hands and pockets always indicator of another<00:03:41.280><c> guy.</c><00:03:41.519><c> Guy</c><00:03:41.760><c> to</c><00:03:41.920><c> guy</c><00:03:42.080><c> interaction.</c><00:03:42.400><c> Is</c> another guy.","['also', 'lingering', 'hand', 'pocket', 'always', 'indicator', 'hand', 'pocket', 'always', 'indicator', 'hand', 'pocket', 'always', 'indicator', 'another', 'guy', 'guy', 'guy', 'interaction', 'another', 'guy']"
Guy to guy interaction.,"['guy', 'guy', 'interaction']"
Is another guy.,"['another', 'guy']"
Guy to guy interaction.,"['guy', 'guy', 'interaction']"
Is it<00:03:42.640><c> a</c><00:03:42.799><c> guy?</c> it a guy?,"['guy', 'guy']"
it a guy?,['guy']
"&gt;&gt; Of<00:03:43.680><c> course</c><00:03:43.840><c> it</c><00:03:44.000><c> is.</c><00:03:44.159><c> If</c><00:03:44.319><c> it's</c><00:03:44.400><c> a</c><00:03:44.560><c> female,</c><00:03:45.040><c> hands</c> &gt;&gt; Of course it is.","['gtgt', 'course', 'female', 'hand', 'gtgt', 'course']"
"If it's a female, hands &gt;&gt; Of course it is.","['female', 'hand', 'gtgt', 'course']"
"If it's a female, hands in<00:03:45.440><c> front</c><00:03:45.599><c> of</c><00:03:45.680><c> the</c><00:03:45.760><c> crotch.</c><00:03:46.159><c> I</c><00:03:46.319><c> don't</c><00:03:46.400><c> know</c> in front of the crotch.","['female', 'hand', 'front', 'crotch', 'dont', 'know', 'front', 'crotch']"
I don't know in front of the crotch.,"['dont', 'know', 'front', 'crotch']"
I don't know why.,"['dont', 'know']"
"[Laughter] [Laughter] [Laughter] A<00:03:54.080><c> few</c><00:03:54.159><c> of</c><00:03:54.319><c> you</c><00:03:54.400><c> are</c><00:03:54.560><c> going</c><00:03:54.640><c> to</c><00:03:54.720><c> get</c><00:03:54.879><c> home</c><00:03:55.120><c> and</c> A few of you are going to get home and A few of you are going to get home and you<00:03:55.519><c> see</c><00:03:55.680><c> your</c><00:03:55.840><c> husband</c><00:03:56.080><c> like</c><00:03:56.239><c> this</c><00:03:56.400><c> and</c> you see your husband like this and you see your husband like this and you're<00:03:56.640><c> like,</c><00:03:56.799><c> ""Who</c><00:03:57.120><c> is</c><00:03:57.280><c> she?""</c> Ian,<00:04:01.680><c> think</c><00:04:01.920><c> of</c><00:04:02.080><c> his</c><00:04:02.319><c> first</c><00:04:02.560><c> name.</c><00:04:03.040><c> Think</c><00:04:03.200><c> of</c> Ian, think of his first name.","['going', 'get', 'home', 'going', 'get', 'home', 'going', 'get', 'home', 'see', 'husband', 'like', 'see', 'husband', 'like', 'see', 'husband', 'like', 'youre', 'like', 'ian', 'think', 'first', 'name', 'think', 'ian', 'think', 'first', 'name']"
"Think of Ian, think of his first name.","['think', 'ian', 'think', 'first', 'name']"
"Think of his<00:04:03.519><c> last</c><00:04:03.760><c> name.</c><00:04:04.080><c> First</c><00:04:04.319><c> name,</c><00:04:04.640><c> last</c><00:04:04.959><c> name.</c> his last name.","['think', 'last', 'name', 'first', 'name', 'last', 'name', 'last', 'name']"
"First name, last name.","['first', 'name', 'last', 'name']"
his last name.,"['last', 'name']"
"First name, last name.","['first', 'name', 'last', 'name']"
"Come<00:04:05.439><c> back</c><00:04:05.519><c> to</c><00:04:05.760><c> me.</c><00:04:06.879><c> The</c><00:04:07.120><c> first</c><00:04:07.360><c> name,</c><00:04:07.599><c> try</c><00:04:07.840><c> to</c> Come back to me.","['come', 'back', 'first', 'name', 'try', 'come', 'back']"
"The first name, try to Come back to me.","['first', 'name', 'try', 'come', 'back']"
"The first name, try to count<00:04:08.159><c> the</c><00:04:08.400><c> letters.</c><00:04:08.959><c> This</c><00:04:09.200><c> doesn't</c><00:04:09.439><c> make</c> count the letters.","['first', 'name', 'try', 'count', 'letter', 'doesnt', 'make', 'count', 'letter']"
This doesn't make count the letters.,"['doesnt', 'make', 'count', 'letter']"
This doesn't make sense.<00:04:10.720><c> Listen</c><00:04:10.959><c> to</c><00:04:11.120><c> me.</c><00:04:11.360><c> This</c><00:04:11.599><c> doesn't</c><00:04:11.840><c> make</c> sense.,"['doesnt', 'make', 'sense', 'listen', 'doesnt', 'make', 'sense']"
Listen to me.,['listen']
This doesn't make sense.,"['doesnt', 'make', 'sense']"
Listen to me.,['listen']
This doesn't make sense.<00:04:12.560><c> He</c><00:04:12.799><c> was</c><00:04:12.959><c> confused</c><00:04:13.680><c> when</c><00:04:14.000><c> I</c><00:04:14.159><c> asked</c> sense.,"['doesnt', 'make', 'sense', 'confused', 'asked', 'sense']"
He was confused when I asked sense.,"['confused', 'asked', 'sense']"
He was confused when I asked about<00:04:14.640><c> the</c><00:04:14.799><c> last</c><00:04:15.040><c> name.</c><00:04:15.760><c> He</c><00:04:16.000><c> tried</c><00:04:16.160><c> to</c><00:04:16.320><c> shield</c> about the last name.,"['confused', 'asked', 'last', 'name', 'tried', 'shield', 'last', 'name']"
He tried to shield about the last name.,"['tried', 'shield', 'last', 'name']"
"He tried to shield it,<00:04:16.639><c> but</c><00:04:16.880><c> I</c><00:04:16.959><c> saw</c><00:04:17.120><c> it.</c><00:04:17.280><c> Why</c><00:04:17.519><c> was</c><00:04:17.600><c> he</c><00:04:17.840><c> confused?</c> it, but I saw it.","['tried', 'shield', 'saw', 'confused', 'saw']"
Why was he confused?,['confused']
"it, but I saw it.",['saw']
Why was he confused?,['confused']
Then<00:04:18.479><c> I</c><00:04:18.639><c> asked</c><00:04:18.799><c> the</c><00:04:18.959><c> first</c><00:04:19.120><c> in</c><00:04:19.440><c> count</c><00:04:19.600><c> the</c> Then I asked the first in count the Then I asked the first in count the letters.<00:04:20.400><c> It</c><00:04:20.639><c> was</c><00:04:20.799><c> too</c><00:04:20.959><c> long.</c><00:04:21.440><c> Sit</c><00:04:21.680><c> down</c><00:04:21.840><c> if</c> letters.,"['asked', 'first', 'count', 'asked', 'first', 'count', 'asked', 'first', 'count', 'letter', 'long', 'sit', 'letter']"
It was too long.,['long']
Sit down if letters.,"['sit', 'letter']"
It was too long.,['long']
"Sit down if it's<00:04:22.160><c> Alexander</c><00:04:22.639><c> the</c><00:04:22.880><c> Great.</c><00:04:24.320><c> What?</c> You<00:04:30.479><c> don't</c><00:04:30.560><c> have</c><00:04:30.720><c> to</c><00:04:30.800><c> hold</c><00:04:31.040><c> the</c><00:04:31.199><c> applause</c> You don't have to hold the applause You don't have to hold the applause inside,<00:04:32.080><c> Ted.</c><00:04:32.400><c> You</c><00:04:32.560><c> can</c><00:04:32.639><c> let</c><00:04:32.720><c> it</c><00:04:32.880><c> out.</c> Now, Now, Now, you've<00:04:41.759><c> seen</c><00:04:41.919><c> a</c><00:04:42.080><c> taste</c><00:04:42.240><c> of</c><00:04:42.400><c> what</c><00:04:42.560><c> I</c><00:04:42.720><c> do,</c><00:04:43.280><c> and</c> you've seen a taste of what I do, and you've seen a taste of what I do, and this<00:04:43.759><c> is</c><00:04:44.000><c> used</c><00:04:44.320><c> primarily</c><00:04:44.880><c> for</c><00:04:45.040><c> the</c><00:04:45.199><c> purpose</c> this is used primarily for the purpose this is used primarily for the purpose of<00:04:45.600><c> entertainment.</c><00:04:46.560><c> But</c><00:04:46.800><c> what</c><00:04:46.960><c> I'd</c><00:04:47.120><c> like</c><00:04:47.199><c> to</c> of entertainment.","['sit', 'alexander', 'great', 'dont', 'hold', 'applause', 'dont', 'hold', 'applause', 'dont', 'hold', 'applause', 'inside', 'ted', 'let', 'youve', 'seen', 'taste', 'youve', 'seen', 'taste', 'youve', 'seen', 'taste', 'used', 'primarily', 'purpose', 'used', 'primarily', 'purpose', 'used', 'primarily', 'purpose', 'entertainment', 'like', 'entertainment']"
But what I'd like to of entertainment.,"['like', 'entertainment']"
"But what I'd like to show<00:04:47.520><c> you</c><00:04:47.680><c> now</c><00:04:48.479><c> is</c><00:04:49.040><c> how</c><00:04:49.280><c> you</c><00:04:49.520><c> could</c><00:04:49.680><c> apply</c><00:04:49.919><c> the</c> show you now is how you could apply the show you now is how you could apply the principles<00:04:50.479><c> of</c><00:04:50.800><c> my</c><00:04:51.040><c> craft,</c><00:04:51.280><c> which</c><00:04:51.440><c> is</c><00:04:51.520><c> known</c> principles of my craft, which is known principles of my craft, which is known as<00:04:51.840><c> mentalism,</c><00:04:52.960><c> to</c><00:04:53.280><c> your</c><00:04:53.600><c> everyday</c><00:04:54.080><c> lives</c><00:04:54.479><c> at</c> as mentalism, to your everyday lives at as mentalism, to your everyday lives at home,<00:04:55.040><c> at</c><00:04:55.280><c> work,</c><00:04:55.600><c> in</c><00:04:55.840><c> your</c><00:04:56.000><c> relationships.</c> home, at work, in your relationships.","['like', 'show', 'could', 'apply', 'show', 'could', 'apply', 'show', 'could', 'apply', 'principle', 'craft', 'known', 'principle', 'craft', 'known', 'principle', 'craft', 'known', 'mentalism', 'everyday', 'life', 'mentalism', 'everyday', 'life', 'mentalism', 'everyday', 'life', 'home', 'work', 'relationship', 'home', 'work', 'relationship']"
"home, at work, in your relationships.","['home', 'work', 'relationship']"
"How<00:04:57.199><c> would</c><00:04:57.520><c> guessing</c><00:04:58.720><c> a</c><00:04:58.960><c> celebrity</c><00:04:59.360><c> out</c><00:04:59.520><c> of</c><00:04:59.600><c> a</c> How would guessing a celebrity out of a How would guessing a celebrity out of a stranger's<00:05:00.320><c> mind</c><00:05:00.560><c> help</c><00:05:00.720><c> you?</c><00:05:00.960><c> Well,</c><00:05:01.199><c> frankly,</c> stranger's mind help you?","['would', 'guessing', 'celebrity', 'would', 'guessing', 'celebrity', 'would', 'guessing', 'celebrity', 'stranger', 'mind', 'help', 'well', 'frankly', 'stranger', 'mind', 'help']"
"Well, frankly, stranger's mind help you?","['well', 'frankly', 'stranger', 'mind', 'help']"
"Well, frankly, it<00:05:01.680><c> really</c><00:05:01.840><c> can't.</c> it really can't.","['well', 'frankly', 'really', 'cant', 'really', 'cant']"
it really can't.,"['really', 'cant']"
"But<00:05:04.000><c> I</c><00:05:04.240><c> have</c><00:05:04.560><c> a</c><00:05:04.880><c> situation,</c><00:05:05.600><c> a</c><00:05:05.840><c> scenario.</c> But I have a situation, a scenario.","['situation', 'scenario', 'situation', 'scenario']"
"But I have a situation, a scenario.","['situation', 'scenario']"
"Well,<00:05:06.960><c> knowing</c><00:05:07.360><c> someone's</c><00:05:07.759><c> name</c><00:05:08.000><c> would</c><00:05:08.240><c> be</c> Well, knowing someone's name would be Well, knowing someone's name would be incredibly<00:05:08.880><c> valuable.</c><00:05:09.840><c> Let</c><00:05:10.080><c> me</c><00:05:10.240><c> paint</c><00:05:10.400><c> a</c> incredibly valuable.","['well', 'knowing', 'someone', 'name', 'would', 'well', 'knowing', 'someone', 'name', 'would', 'well', 'knowing', 'someone', 'name', 'would', 'incredibly', 'valuable', 'let', 'paint', 'incredibly', 'valuable']"
Let me paint a incredibly valuable.,"['let', 'paint', 'incredibly', 'valuable']"
Let me paint a portrait.<00:05:11.280><c> You're</c><00:05:11.520><c> at</c><00:05:11.759><c> a</c><00:05:11.919><c> party.</c><00:05:12.400><c> You're</c><00:05:12.560><c> at</c><00:05:12.720><c> a</c> portrait.,"['let', 'paint', 'portrait', 'youre', 'party', 'youre', 'portrait']"
You're at a party.,"['youre', 'party']"
You're at a portrait.,"['youre', 'portrait']"
You're at a party.,"['youre', 'party']"
You're at a work<00:05:13.039><c> event.</c><00:05:13.520><c> You've</c><00:05:13.759><c> walked</c><00:05:14.080><c> up</c><00:05:14.240><c> to</c><00:05:14.400><c> somebody</c> work event.,"['youre', 'work', 'event', 'youve', 'walked', 'somebody', 'work', 'event']"
You've walked up to somebody work event.,"['youve', 'walked', 'somebody', 'work', 'event']"
You've walked up to somebody new.<00:05:15.199><c> You've</c><00:05:15.440><c> looked</c><00:05:15.600><c> them</c><00:05:15.759><c> in</c><00:05:15.840><c> the</c><00:05:15.919><c> eye.</c> new.,"['youve', 'walked', 'somebody', 'new', 'youve', 'looked', 'eye', 'new']"
You've looked them in the eye.,"['youve', 'looked', 'eye']"
new.,['new']
You've looked them in the eye.,"['youve', 'looked', 'eye']"
You've<00:05:16.400><c> shaken</c><00:05:16.720><c> their</c><00:05:16.880><c> hands.</c><00:05:17.120><c> You've</c> You've shaken their hands.,"['youve', 'shaken', 'hand', 'youve', 'youve', 'shaken', 'hand']"
You've You've shaken their hands.,"['youve', 'youve', 'shaken', 'hand']"
You've introduced<00:05:17.840><c> yourselves</c><00:05:18.240><c> to</c><00:05:18.400><c> each</c><00:05:18.560><c> other.</c><00:05:18.800><c> And</c> introduced yourselves to each other.,"['youve', 'introduced', 'introduced']"
And introduced yourselves to each other.,['introduced']
"And right<00:05:19.120><c> at</c><00:05:19.280><c> that</c><00:05:19.520><c> moment,</c><00:05:20.960><c> you</c><00:05:21.280><c> realize</c><00:05:22.240><c> that</c> right at that moment, you realize that right at that moment, you realize that you<00:05:22.560><c> have</c><00:05:23.039><c> completely</c><00:05:23.759><c> forgotten</c><00:05:24.800><c> the</c> you have completely forgotten the you have completely forgotten the person's<00:05:25.600><c> name</c><00:05:26.000><c> who</c><00:05:26.320><c> just</c><00:05:26.560><c> told</c><00:05:26.800><c> it</c><00:05:26.960><c> to</c><00:05:27.120><c> you</c> person's name who just told it to you person's name who just told it to you one<00:05:27.840><c> second</c><00:05:28.000><c> ago.</c><00:05:28.560><c> Raise</c><00:05:28.800><c> your</c><00:05:28.960><c> hand</c><00:05:29.120><c> if</c><00:05:29.280><c> you</c> one second ago.","['right', 'moment', 'realize', 'right', 'moment', 'realize', 'right', 'moment', 'realize', 'completely', 'forgotten', 'completely', 'forgotten', 'completely', 'forgotten', 'person', 'name', 'told', 'person', 'name', 'told', 'person', 'name', 'told', 'one', 'second', 'ago', 'raise', 'hand', 'one', 'second', 'ago']"
Raise your hand if you one second ago.,"['raise', 'hand', 'one', 'second', 'ago']"
Raise your hand if you can<00:05:29.600><c> share</c><00:05:29.759><c> this</c><00:05:30.000><c> experience.</c><00:05:31.360><c> You</c><00:05:31.520><c> raise</c> can share this experience.,"['raise', 'hand', 'share', 'experience', 'raise', 'share', 'experience']"
You raise can share this experience.,"['raise', 'share', 'experience']"
"You raise your<00:05:31.840><c> hand,</c><00:05:32.080><c> too,</c><00:05:32.320><c> you</c><00:05:32.479><c> liar.</c><00:05:33.600><c> She's</c><00:05:33.840><c> like,</c> your hand, too, you liar.","['raise', 'hand', 'liar', 'shes', 'like', 'hand', 'liar']"
"She's like, your hand, too, you liar.","['shes', 'like', 'hand', 'liar']"
"She's like, ""Not<00:05:34.240><c> me.</c><00:05:34.560><c> Not</c><00:05:34.720><c> me.""</c> ""Not me.","['shes', 'like']"
"Not me."" ""Not me.",[]
"Not me."" I<00:05:37.520><c> want</c><00:05:37.680><c> to</c><00:05:37.759><c> give</c><00:05:37.919><c> you</c><00:05:38.160><c> a</c><00:05:38.479><c> superpower</c><00:05:39.360><c> from</c> I want to give you a superpower from I want to give you a superpower from this<00:05:39.919><c> day</c><00:05:40.080><c> forward</c><00:05:40.400><c> where</c><00:05:40.639><c> you</c><00:05:40.800><c> will</c><00:05:41.039><c> never</c> this day forward where you will never this day forward where you will never ever<00:05:42.320><c> forget</c><00:05:42.639><c> the</c><00:05:42.800><c> name</c><00:05:42.960><c> of</c><00:05:43.120><c> someone</c><00:05:43.360><c> you</c><00:05:43.600><c> just</c> ever forget the name of someone you just ever forget the name of someone you just met,<00:05:44.080><c> ever.</c><00:05:44.800><c> And</c><00:05:45.039><c> how</c><00:05:45.199><c> am</c><00:05:45.360><c> I</c><00:05:45.440><c> going</c><00:05:45.600><c> to</c><00:05:45.680><c> do</c> met, ever.","['want', 'give', 'superpower', 'want', 'give', 'superpower', 'want', 'give', 'superpower', 'day', 'forward', 'never', 'day', 'forward', 'never', 'day', 'forward', 'never', 'ever', 'forget', 'name', 'someone', 'ever', 'forget', 'name', 'someone', 'ever', 'forget', 'name', 'someone', 'met', 'ever', 'going', 'met', 'ever']"
"And how am I going to do met, ever.","['going', 'met', 'ever']"
"And how am I going to do this?<00:05:46.000><c> Using,</c><00:05:46.400><c> can</c><00:05:46.560><c> you</c><00:05:46.720><c> guess?</c><00:05:47.600><c> Shampoo.</c> this?","['going', 'using', 'guess', 'shampoo']"
"Using, can you guess?","['using', 'guess']"
Shampoo.,['shampoo']
this?,[]
"Using, can you guess?","['using', 'guess']"
Shampoo.,['shampoo']
"Didn't<00:05:49.280><c> see</c><00:05:49.360><c> that</c><00:05:49.520><c> one</c><00:05:49.680><c> coming,</c><00:05:50.000><c> did</c><00:05:50.160><c> you?</c><00:05:51.280><c> The</c> Didn't see that one coming, did you?","['didnt', 'see', 'one', 'coming', 'didnt', 'see', 'one', 'coming']"
"The Didn't see that one coming, did you?","['didnt', 'see', 'one', 'coming']"
The back<00:05:51.759><c> of</c><00:05:52.000><c> every</c><00:05:52.240><c> bottle</c><00:05:52.479><c> of</c><00:05:52.720><c> shampoo</c><00:05:53.039><c> is</c><00:05:53.280><c> a</c> back of every bottle of shampoo is a back of every bottle of shampoo is a master<00:05:54.000><c> class</c><00:05:54.240><c> in</c><00:05:54.479><c> brilliant</c><00:05:54.880><c> marketing.</c> master class in brilliant marketing.,"['back', 'every', 'bottle', 'shampoo', 'back', 'every', 'bottle', 'shampoo', 'back', 'every', 'bottle', 'shampoo', 'master', 'class', 'brilliant', 'marketing', 'master', 'class', 'brilliant', 'marketing']"
master class in brilliant marketing.,"['master', 'class', 'brilliant', 'marketing']"
"Three<00:05:55.680><c> words</c><00:05:56.160><c> in</c><00:05:56.400><c> the</c><00:05:56.560><c> instructions.</c><00:05:57.520><c> Lather,</c> Three words in the instructions.","['three', 'word', 'instruction', 'lather', 'three', 'word', 'instruction']"
"Lather, Three words in the instructions.","['lather', 'three', 'word', 'instruction']"
"Lather, rinse,<00:05:58.960><c> repeat.</c><00:05:59.680><c> Right?</c><00:06:00.160><c> Lather</c><00:06:00.560><c> makes</c><00:06:00.720><c> your</c> rinse, repeat.","['lather', 'rinse', 'repeat', 'right', 'lather', 'make', 'rinse', 'repeat']"
Right?,['right']
"Lather makes your rinse, repeat.","['lather', 'make', 'rinse', 'repeat']"
Right?,['right']
Lather makes your hair<00:06:01.039><c> smell</c><00:06:01.280><c> good.</c><00:06:01.520><c> Rinse</c><00:06:01.840><c> makes</c><00:06:02.000><c> it</c><00:06:02.160><c> clean.</c> hair smell good.,"['lather', 'make', 'hair', 'smell', 'good', 'rinse', 'make', 'clean', 'hair', 'smell', 'good']"
Rinse makes it clean.,"['rinse', 'make', 'clean']"
hair smell good.,"['hair', 'smell', 'good']"
Rinse makes it clean.,"['rinse', 'make', 'clean']"
Repeat.<00:06:03.280><c> We</c><00:06:03.440><c> got</c><00:06:03.600><c> to</c><00:06:03.680><c> sell</c><00:06:03.840><c> some</c><00:06:04.080><c> product.</c> Repeat.,"['repeat', 'got', 'sell', 'product', 'repeat']"
We got to sell some product.,"['got', 'sell', 'product']"
Repeat.,['repeat']
We got to sell some product.,"['got', 'sell', 'product']"
"I<00:06:06.319><c> want</c><00:06:06.479><c> to</c><00:06:06.639><c> repurpose</c><00:06:07.120><c> that</c><00:06:07.360><c> catchphrase</c> I want to repurpose that catchphrase I want to repurpose that catchphrase that<00:06:08.560><c> each</c><00:06:08.720><c> and</c><00:06:08.880><c> every</c><00:06:09.039><c> one</c><00:06:09.120><c> of</c><00:06:09.280><c> you</c><00:06:09.360><c> will</c> that each and every one of you will that each and every one of you will remember<00:06:09.759><c> and</c><00:06:10.000><c> take</c><00:06:10.160><c> with</c><00:06:10.319><c> you</c><00:06:10.479><c> for</c><00:06:10.720><c> the</c><00:06:10.880><c> rest</c> remember and take with you for the rest remember and take with you for the rest of<00:06:11.120><c> your</c><00:06:11.280><c> days.</c><00:06:12.080><c> Listen.</c><00:06:12.720><c> Repeat,</c><00:06:13.039><c> reply.</c><00:06:13.440><c> Say</c> of your days.","['want', 'repurpose', 'catchphrase', 'want', 'repurpose', 'catchphrase', 'want', 'repurpose', 'catchphrase', 'every', 'one', 'every', 'one', 'every', 'one', 'remember', 'take', 'rest', 'remember', 'take', 'rest', 'remember', 'take', 'rest', 'day', 'listen', 'repeat', 'reply', 'say', 'day']"
Listen.,['listen']
"Repeat, reply.","['repeat', 'reply']"
Say of your days.,"['say', 'day']"
Listen.,['listen']
"Repeat, reply.","['repeat', 'reply']"
"Say it<00:06:13.680><c> with</c><00:06:13.840><c> me.</c><00:06:14.000><c> Listen,</c><00:06:14.960><c> repeat,</c><00:06:15.840><c> reply.</c> it with me.","['say', 'listen', 'repeat', 'reply']"
"Listen, repeat, reply.","['listen', 'repeat', 'reply']"
it with me.,[]
"Listen, repeat, reply.","['listen', 'repeat', 'reply']"
"Listen<00:06:17.600><c> sounds</c><00:06:17.840><c> like</c><00:06:18.000><c> the</c><00:06:18.160><c> most</c><00:06:18.319><c> obvious</c> Listen sounds like the most obvious Listen sounds like the most obvious thing.<00:06:18.960><c> Of</c><00:06:19.039><c> course,</c><00:06:19.280><c> listen</c><00:06:19.440><c> to</c><00:06:19.520><c> the</c><00:06:19.680><c> name.</c> thing.","['listen', 'sound', 'like', 'obvious', 'listen', 'sound', 'like', 'obvious', 'listen', 'sound', 'like', 'obvious', 'thing', 'course', 'listen', 'name', 'thing']"
"Of course, listen to the name.","['course', 'listen', 'name']"
thing.,['thing']
"Of course, listen to the name.","['course', 'listen', 'name']"
But<00:06:20.319><c> that's</c><00:06:20.560><c> where</c><00:06:20.720><c> most</c><00:06:20.960><c> of</c><00:06:21.120><c> you</c><00:06:21.280><c> falter.</c><00:06:22.160><c> At</c> But that's where most of you falter.,"['thats', 'falter', 'thats', 'falter']"
At But that's where most of you falter.,"['thats', 'falter']"
"At the<00:06:22.560><c> moment</c><00:06:22.880><c> the</c><00:06:23.199><c> person</c><00:06:23.440><c> tells</c><00:06:23.759><c> you</c><00:06:23.919><c> the</c> the moment the person tells you the the moment the person tells you the name,<00:06:25.039><c> you</c><00:06:25.360><c> are</c><00:06:25.600><c> actually</c><00:06:26.000><c> not</c><00:06:26.319><c> listening.</c> name, you are actually not listening.","['moment', 'person', 'tell', 'moment', 'person', 'tell', 'moment', 'person', 'tell', 'name', 'actually', 'listening', 'name', 'actually', 'listening']"
"name, you are actually not listening.","['name', 'actually', 'listening']"
You<00:06:26.800><c> are</c><00:06:26.960><c> thinking</c><00:06:27.120><c> about</c><00:06:27.360><c> what</c><00:06:27.520><c> you're</c><00:06:27.680><c> going</c> You are thinking about what you're going You are thinking about what you're going to<00:06:27.840><c> say</c><00:06:28.000><c> back.</c><00:06:28.400><c> Do</c><00:06:28.639><c> I</c><00:06:28.800><c> know</c><00:06:28.880><c> this</c><00:06:29.120><c> person</c><00:06:29.440><c> or</c> to say back.,"['thinking', 'youre', 'going', 'thinking', 'youre', 'going', 'thinking', 'youre', 'going', 'say', 'back', 'know', 'person', 'say', 'back']"
Do I know this person or to say back.,"['know', 'person', 'say', 'back']"
Do I know this person or what<00:06:29.919><c> am</c><00:06:30.000><c> I</c><00:06:30.080><c> going</c><00:06:30.160><c> to</c><00:06:30.240><c> say</c><00:06:30.400><c> next?</c><00:06:30.560><c> Or</c><00:06:30.720><c> am</c><00:06:30.800><c> I</c> what am I going to say next?,"['know', 'person', 'going', 'say', 'next', 'going', 'say', 'next']"
Or am I what am I going to say next?,"['going', 'say', 'next']"
